タイトル: クリエイター向けコミュニティの外部企業コラボを巡る運営の対立解消法
[07:54] 全員で必ず手を取り合って運営しましょうねっていう場合もあるけど、このプロジェクトは何々さんが担当、このプロジェクトは何々さんが担当ってあるじゃないですか。例えばオフ会はこの人が数字できる、現地ではこの人でも、イベントの時はこの人とか、ホームページの島のこの人、物販の人はこの人って勿論
[08:14] 全部やってくれるよっていう少人数の対戦のところもあるけど、そうやって分裂してることって当然ありますよね。なので、それで言ったら、例えば新しい役を作る運営の中にも外部プロジェクトを進める役割はこの人。なぜならその人は外部プロジェクトを進めたい人だし、納得してくれる人だか ら勧めたくないよって言ってる人を無理やり
[08:35] そこに当てはめてやらせるってしんどいです。なので
[08:40] 単純にこれ適材適所というかね。なのでその上であなたは企業コラボをしっかり進めていくこと。だけど気が付いたことがあったらあの人をサポートしてあげてねっていう形にする。つまりその中で上下をちゃんとつけてこの人は決定権を持つようっていう風に進めてあげるとか、もしくはあなたは別
[09:00] 内部の外部のコラボでこういう懸念があると、じゃあそれを解消できるような内部のコラボ、内部のコラボというか内部の企画をきちんと立ててみてくださいって。その対立をうまく使って、逆に言うと競争に持ってっちゃうってことですね。賛成反対だとか俺が認められた認められてないとか
[09:20] いとかじゃなくて競争の形に持ってっちゃうちゃうっていうね。そういう風にする。
[09:27] 勝手に人間は満足感を覚えるもんなんです。外部のコラボをやった時に、外部のコラボやったでしょ。でも本当はあれをやるとこういうトラブルが起きるのよ。それに対して私は実はこういうことを企画していて、あれはこのコラボレーションに対するアンチテーゼです。
[09:47] として実はやっていたの。なるほど、道理で二つの軸があったこと。あの時、僕、すごい楽しかったですよ。とか、僕はコラボも楽しかったけど、確かにそういう視点があるからこの優しいコミュニティが成り立ってるんですね。みたいに、その人は反対派の人ですよね。賞賛を集められる、それだけで満足できる。
[10:07] 訳です。実際そういう感じで効果があったかどうかは別です。ただ自分の中でこういうことを私はやったということが満足につながるということがあったりするので。
[10:20] 完全に役割を分けてしまう、というのもありだと思います。あなたが苦手とかちょっと嫌だなと思うんだったら、これは無理にあなたにやってもらおうとは思わない。それを勧めたい人と一緒にやった方が絶対うまくいくから。それじゃあ今回の担当は〇〇さんにするね、っていう風にして外してしまう、というのも方法の一つかな。
[10:40] とおもいますね。ただもちろんその上でも独立性を大事にしていきたいというその気持ちをないがしろにするというのがね、そうやって担当を分けたとしても多分うまくいかなくなると思うので、まずはそこを受け止めてあげて、企画をやったところで独立性って失われないよっていうことだけは理解してもらうっていう、その一番コアな反対理由のポイントだけはケアしてあげるっていうことが大事かな。
[11:00] 反対理由のポイントだけはケアしてあげるっていうことが大事かなと。そのほかの関係は
[11:08] い、あの、何て言うの、些末な要因というか、些末な心配事っていうのもいっぱい持ってたりするんで、そういうところには担当を変えるとかで無視するっていうのがね、うまくいくんじゃないかなと思います。ということで、むしろね、この人は別のコミュニティの失敗経験があるということですので、その
[11:28] むしろね、ちゃんと取り立ててあげて、聞いてみるっていうのが大事かなと。感情の問題じゃない。失敗がね、そこには絶対あるはずなので、すごくいい知見を持っているスタッフさんがいる、というふうに捉えて頑張ってみてください。ということで、今日の内容は以上です。
