タイトル: AIコンテストの実態は企業のPR案件であり審査体制も形骸化している
録音ID: rec_20260420131947
文字起こしID: 24
録音日時: 2026-04-20T13:19:47.782Z
[09:38] speaker_0: 自分のパソコンの中だけ綺麗になっていくみたいなそういうとこに何かそういう疲れを感じたんだなと思って
[09:48] speaker_0: もっと日常とAIかな、ある種
[09:54] speaker_2: あるの特徴は凄いAIに期待してるやんか
[09:59] speaker_2: だからその現実に生きるって感じやろうな、まとめちゃうけど
[10:06] speaker_0: そうね
[10:07] speaker_2: 前のさ佐藤さん
[10:09] speaker_0: んがあった
[10:09] speaker_2: たようにゲーム
[10:11] speaker_0: あったね
[10:12] speaker_2: あの時ちょっとそれ思ってんだ
[10:14] speaker_0: なんで
[10:17] speaker_2: 佐藤さんはさあのうんジェミニがでちょっとしたやり取りができるっていう風に
[10:26] speaker_2: はい、たい奴やんかそれは
[10:38] speaker_2: あれでさ、そう。佐藤さんの面白いところはそこじゃないので、うん、そこに異様な食いしてたやんかですよう
[10:48] speaker_0: そこまで食い付いてたかな
[10:51] speaker_2: なんかあの
[10:56] speaker_2: チャットのやりとりさ
[10:57] speaker_0: あのチャットのやり取り
[11:00] speaker_1: だった
[11:01] speaker_2: 文句みたいなもの
[11:03] speaker_1: ん、ちょっとで
[11:04] speaker_2: でもあのゲームの面白さはそこじゃないやんか
[11:13] speaker_2: 俺はゲームであったのにAIが搭載されてる自然なやり取りができるみたいなそういう風にしてて
[11:26] speaker_0: 形をしててなるほどね
[11:29] speaker_2: だからAIに何か
[11:34] speaker_2: AIが配置するゲームだからもっとこう面白いことができるんじゃないかっていう風に
[11:40] speaker_0: それは期待をしているっていうか事実できるはずなのに、やってないのには腹が立つっていうとあれだけど、それからそういうこと
[11:52] speaker_2: 実際それは実際それを作ると莫大な金がかかるとか
[11:59] speaker_0: そうでもないんじゃないかと思ってるんだけどね。あれ、そう。API料金もあるけどさ。俺はだからAPIでやんないでローカルに飛ばしてやればいいし、API料金も自分で使ってるから、いくら上手くか大体分かってるのもあって、なんかどうなんだろうってのは思う
[12:19] speaker_0: そんなあんなチャットに搭載させてさ
[12:25] speaker_0: チャットは自然なエントリーなのは素晴らしいけど、その中ゲームに絡まるじゃ
[12:29] speaker_2: そこまで考えてるってことがAIに対して期待してるってことやん
[12:37] speaker_0: やん、それは全然その通りだよ、それは分かるけど、それについて
[12:40] speaker_1: 言う
[12:41] speaker_0: と全く俺はもう全く期待は損ないよAIが期待外れだから現実を知った
[12:49] speaker_2: 現実のヤクザにもっとできるっていうのがあったのに
[12:59] speaker_2: できないっていうか
[13:03] speaker_2: AIがある未来だと
[13:05] speaker_0: 思ってそれに関して言うとちょっと違うんだよな。俺が思ってるのはaiが駄目だって思って落ちてるんじゃなくてaiはできるのに人間ができないっていうことに落胆してるの。つまりaiはできるわけじゃんだけどプロじゃないからaiを使いこなせなくてaiの能力を
[13:25] speaker_0: 全然発揮できてないよね。結局はだからあなたの能力がaiの可能性を狭めてるよね、っていうことがほとんどの状態で起きてて、ai界隈全体がそれで自分の能力の限界を薄々感じている。だからこそ内輪にこもってコンテストしてるっていう状況に俺はすごい嫌気がさしてる。
[13:45] speaker_0: っていうのがだからプロが使ったらいいじゃんって思うし佐藤さん暇つぶしも面白かったけどチャットだけ使ってるんじゃさなんか個人的にはもったいないだろうからもっと MMOとかに本当にプロのゲーム会社が ai とかをガンガン使ってたら全ての npc
[14:06] speaker_0: と自然な会話ができてっていうことが現実するよねってあ
[14:10] speaker_1: の時も言ってたと思うけどそういう感じの ai は活かしきれてないじゃんこれって思っちゃう
[14:10] speaker_0: それは人間の能力によるものだよね、っていうことでは俺は人間に対して絶望してるっていう感じ
[14:25] speaker_2: 人間はai系一体化しないといけない
[14:27] speaker_0: 本当にそう思う。でもそういう意味で言うともっとaiが人間の能力を拡張するとは
[14:33] speaker_1: 思ってた
[14:37] speaker_2: プログラムでしか過ぎなかったっていうのがまあそう
[14:41] speaker_0: そこは人間の適応能力の低さにも自分も含めてね
[14:48] speaker_0: なんかこうそういうがっかりしてるのはあるんだよね。そこまでaiが万能じゃないっていうかaiが万能じゃないっていうか人間が思ってる以上にあの駄目だなって感じ
[15:04] speaker_2: 結局人間が作ったものは人間を超えることはなかったっていうそう
[15:08] speaker_0: ねそう思う
[15:10] speaker_2: 話してるよ
[15:13] speaker_0: な人間っていうのの能力が、俺の思ってるより人間の能力は低いんだなっていうことかな。ある意味では人に期待してんのかもなaiよりも。なるほど、前からずっとそうだけど、人間に対してすごい、俺は期待してる、能力値が高いだろうって
[15:33] speaker_2: aiで人間の潜在能力がもっと発揮されると思った
[15:37] speaker_0: けどそんなことなかった潜在能力があってなかったっていうさでお前分かんない。俺個人で言ったらはっきりできてるとは思うよ。昔に比べたらできること増えたしお金も生むましも作ったしでも世界を変えるほどのことは起きて
[15:57] speaker_0: ないようなそういう意味で言うとクロックがさxを全部翻訳してくれるようになってさ世界
[16:05] speaker_0: 世界中のxで同じことしてんだよね。いらっしゃい、情報商材やがさ
[16:21] speaker_0: 使える方法のまとめとベストプラクティスとさ
[16:26] speaker_0: なんかそれをずっと最後私がコミュニティやってますって言ってさ
[16:33] speaker_0: 世界のアメリカの人もやって韓国の人もやってさ ウズベキスタンの人もやってるんだよ なんか引いちゃったもんね それで
[16:40] speaker_2: 当ててくっ
[16:41] speaker_0: たどこでやってる人間って本当に駄目なんだよ。日本が駄目なのかなんって思ってたら世界が駄目なんじゃんってなったんだよね
[16:55] speaker_0: だ。もっと凄いことができるって。でも人間はそのリソースの限界とか才能の限界があるからできますないよね。言語化が難しいからできないよね。っていうのをaiがあれば吹き飛ばせるって思う時はそんなことはなかった
[17:14] speaker_0: やこれが本当の絶望ですね
[17:19] speaker_2: そこに気づいてしまった
[17:23] speaker_0: と
[17:23] speaker_2: いう切り物の小ささに気づいた
[17:28] speaker_0: 難しい人間っていうのはというお
[17:35] speaker_0: 話でした。
