タイトル: 過疎化した趣味系Discordサーバーを再び盛り上げるための活性化戦略
[03:13] とかって会話を飛ばすのってまずいですよね。グループラインって会話がこう下にキュッと現れてまた下にキュッて現れて下に来る、チャット型のスタイルなんですけど、チャット型っていうのは一つには、多人数が会話をするには向いてないんですよ。その一つ
[03:33] その場所で会話できる人数って多分三人が限界なんですよね。グループLINEでも五人六人で盛り上がってるというよりは、結局固定の三人がワイワイやってるっていう状態になりがちじゃないですか。リアクションをする人はこの人達って決まってるみたいな、それでい
[03:54] 例えば飲み会をしようってポンって来たとして、その飲み会に誰もしたくなかったとするじゃないですか。そしたらそれに対して最近おいしい焼き芋を見つけましたって話題をしたいなと思った時に、でも直前後飲み会行きたいってこの人言ってるしなってなって、これを飛ばすわけにはいかないって、行きたくはないし、反応もし
[04:14] ないけど、これを無視するのは難しいっていう風な状況にあるわけですね。誰か処理してくれってそういう状況になると、潰やける人っていうのが限られてるわけです。潰やける人はどちらかと言うと周囲のことあまり気を使わない人ですよね。気にしない素なのって私、飲みたい誰も反応しないけど
[04:34] 知らん。俺の企業を見ろっていう風に言える人が書き込めるわけです。そんな人は少ないですし、そういう人は逆に言うと重い空気が読めないので、そういう人が発言していることそのものがチャットの空気を生み出してたりもするわけですよね。こんな人も反応してるのにずっと潰れていくんだっていう人もいたりするわけですよ。という風
[04:54] チャット型って実は真面目な人とかまともな人というか言い方あるかもしれないですけど、思慮深くて大人しい人ほど発言しなくなるっていう、そういう傾向があるんですよね。なので自然とやっているとどんどん人数は減っていきます。これがチャット型です。逆にチャット型でもそれを維持できる場合っていうのは何人ぐらいかとか、どれぐらいかっていうと、やっぱり5、6人とかの少人数のサーバーは別に誰かだけがつぶやいていようが誰かが離れていようがあまり関係なく会話ができて、10人ぐらいでも多分ね、楽しくできると
[05:14] ト型です。逆にチャット型でもそれを維持できる場合っていうのは何人ぐらいかとか、どれぐらいかっていうと、やっぱり5、6人とかの少人数のサーバーは別に誰かだけがつぶやいていようが誰かが離れていようがあまり関係なく会話ができています。10人ぐらいでも多分ね、楽しくできると
[05:34] 思い。
[05:36] そこが、50人とかになると参加しづらくなるんですよね。離れていくと。そもそもコミュニティって大体30の人が参加してたらかなり立派なコミュニティですね。50動いてたらびっくりしますよ。30でも全然十分で、概ね10
[05:57] から20の世界なんですよね。なので50人いますが今は数人ですっていうのは当初が盛り上がっていたのだけで、本来の答えだって、5から10人ぐらいが盛り上がるっていう、そういう数値がまあ概ねの目安なんですよね。なので5から10人が
[06:17] 動いているということで言うと、チャットが打ちづらい、Discordプラス。そのメインとしてアクティブというのは10人ぐらいかなって思ったら、まあこれも仕方ないかなと思うんです。ただ
[06:35] イベントを低く押したのに、それが十人未満でしたっていうことは結構ショックですよね
[06:42] これについて言ったら、基本的なアクティブがさっき言っており、十二十になっちゃってるわけなので
[06:51] それからさらに、企画をやって参加する人っていうのも、まあ十人ぐらいの中から何パーセントがその企画に参加するかっていう世界になっちゃってて、残念ながら50人でアプローチしているつもりでね。管理者の人は頑張ってくれたと思うんだけど、実際には10人にしかアプローチできてなかったっていうことは、この10人が集まれ
[07:11] なかなか一つの要因なんじゃないかと思います。これを防ぐためにはね、本当はこの50人をかき混ぜるような仕掛けっていうのを定期的に行ってきたり、チャットはしぼむ前にチャットをしなくても参加できる企画っていうものを増やしていくっていうことが必要だったりするんです。日常
[07:31] チャットってのはどんどんしぼんでいくのではなく、どこかで一回チャットに戻させるのではなく、何かのイベントをボンと開いてもう一回コミュニティのサンガリン ズを増やすってことをしてまたチャットでしぼんでいって、ポンと増やしてっていうことを繰り返していくってことが必要になります。そこでも関わってきたらまたチャット打つようになりますから
[07:51] ね、ちょっとだけの間。
[07:54] ということがあるので足りてなかったらそこ の
[08:00] 中長的に人を持ってくるっていうイベントなんじゃないかと思いますね。大きいイベントを企画するよりは、ちっちゃな定期イベントで人が来るっていう状態をもうちょっと作っておくと良いのかないと思います。サーバー内でテーマを決めた雑談会とかってね、こういうのもあります。結局ね、おそらくこれは
[08:20] しぼんでから立ててるから、うまくいっていないんだろうと思いますね
[08:25] もしくは、そのテーマを決めたっていうところのテーマがね、絞られすぎちゃっていたりすることも、逆に広すぎていつも雑談会と変わらないよねって思う人もあと、雑談っていつも同じ得るよね、この人たちともう話さなくていいんだけどって思ったら人は離れていったりするわけですよね。なので、反応が薄いとかそういうことも
[08:45] 含めて、たぶんもうしぼんだ後の施策を一生懸命やってるからうまくいかないんだという風に思います。じゃあこれどうするのかって言ったら、また先を取り戻すにはどうしたらいいですか。メンバーが自然に話したくなる環境ってどう作ればいいですか。に関して言うと、ですけど、これはねほぼごめんなさい、無理だと思ってください。というのもこの五十人の内、残っ
[09:05] てくれている五、六人を除いたら、見ている人の人数はその倍として十人ぐらい。なので十人を築き上げるっていうことは多分できるんですけど、多分それでも十人なんです。なので40人は死んでいるか見ていないか通知を切っているって状態。じゃあこの人たちはどうしますかって言ったら、この人たちは残念ながらですね
[09:25] 見切った方が早いです。見切った上で盛り上がってたらもう一回戻ってくることは全然ある。それを除名しようとかは必要ないんだけど、その人たちに期待をしてはいけないってことです。もう絶対に見ない40人ってのは必ずそこにいるわけですから、40は多すぎかない30人ぐらいは見ないっていう状態に
[09:45] なっているわけです。なので見ない人たちに手を打つよりは、見てくれる人たちに手を打つ、そして
[09:56] 改めて見る人を増やすということが必要。つまりどういうことかといった人とからちゃんと集客して人を増やしましょうということですね。もうちょっと頑張って十五人増やしてみてください。そしたら基礎の人数が25人に膨れ上がりますから、そのうち10人は元々アクティブですからね
[10:17] 5人のうちの初期の頃ですから50％ぐらい動いてくれ。そしたら7、8人動いてくれたら、それだけで20人のサーバーになるから、そしたらね、もうちょっとね、交流活発になりますよ。さっき言った通り、人が現れた段階で、定期的に雑談以外のところでイベントで人を集めて盛り上げてく。
[10:37] っていうことを、定期的に人が集まる。
[10:41] を作ってくってことが重要です。で、メンバーが自然に話したくなる環境っていうのはどういうことかって言ったら、これを聞いて欲しいっていうことを
[10:50] ちゃんと作るってことですね。なので適当な雑談です。こういうテーマで話してくださいね。って言われても、そういう時って言われたことを話したいかどうかの話で難しくないですか。聞いてほしいユーザーからしたら、これを伝えたい、これを聞いて欲しい、リアクションが欲しいって言う
[11:16] 例えば、話せる場所を作るっていうのが大事なのかなっていう風に思います。例えばですけど、仕事でうまくいったことがあったら、ここで自慢しようとかっていうのは伝えたくなりますよね。リアクションもしやすいじゃないですか。聞いてほしい、褒めてほしい、みたいな、そういったことをそのまま言いましょうっていうのは意外
[11:36] と、例えばいい作品ができたらここにシェアしようとかっていうのはここではもうとにかく褒めてもらう場所ですから、褒めてほしいって思ったら出して下さいっていうような感じにするとプラスの感じになりますよね。そういうの、恥ずかしげもなく、そういう場所を設定してあげるってのが大事。当然投稿して
[11:56] くれたのには管理人が一番最初に反応するのも大事。そういう風に運用していくと自然と話したくなるというよりは、そうですね、自然と話したくなるのかもしれない。そういう場所ですね。あと、まあもう本当に難しいですけど、おはようを言うだけの場所とか作っても
[12:16] いいと思いますよ。おはようって言うだけの場所で、リアクションで反応し合いましょうみたいな。そうしたらなんとなく人間関係だなって思うようになると思うので、一回そこそこで、メンバー同士にこういう人、いつもリアクションくれるな、どんな人なんだろうな、っていうメンバー同士に興味を持たせる施策。そしてその場所では、何を話したいかなんて思う必要さえなく、おはよう
[12:36] というだけでいいっていう、習慣化と、全て決められたレールの上を乗る。そうするといっぱい良いねがつくみたいな環境を作る。こうやってやっていくと、コミュニティに対して習慣と感謝と依存が生まれていきますので、全然いけるんじゃないかなと、まずはそういった身近
[12:56] なところから始めてみるのがお勧めということでした
[13:03] もう一回頑張って人を増やすということ。そしてサノアミニティ参加者は30名を目指して行っていきましょう。逆に言うと50人の場合は15人ぐらいから適正な数字になるので、そこに一喜一憂する必要は全くない。というところ
[13:23] です
[13:27] 雑談チャンネルとかね、放っておいても盛り上がるものでは全くありませんので、定期的に雑談がしやすくなるようなチャット以外のかき混ぜ方だったり、テーマとしても自慢をする、とか、聞いて欲しいっていうところの欲望を刺激するようなテーマにする、ということが大切です。
[13:48] ということでまずは頑張って外の集客15人やってみてください。ということで今日のお悩みでした
