タイトル: [復元] 2026/5/13 15:02:41
録音ID: rec_20260513084709
文字起こしID: 50
録音日時: 2026-05-13T08:47:09.491Z
[14:53] speaker_1: その中の有利プロの観光の機会を今回のプロ立ち上げよう経過をして片上さんを中心にいろいろ始めたような話でございます。 この度、ちょっと大兄さんのオートバイがございまして、こういったウェブ会員になりました。
[15:13] speaker_1: よろしくお願いいたします
[15:17] speaker_0: ありがとうございます。よろしくお願いいたします
[15:22] speaker_0: 下側から何かご質問とかありますでしょうか。特にないですかね。大丈夫ですかね。はい。じゃあ、続いてアジェンダの方にちょっと戻りますが、ちょっと投影させていただきます。
[15:44] speaker_0: 画面の方、見えていますでしょうか。
[15:47] speaker_1: はい、はい、
[15:49] speaker_0: ありがとうございます。続きまして、さんさんの依頼事項等の確認というところで事前にちょっと要件定義書など佐々木様から受領いたしました。その件についてちょっといろいろ質問事項を弊社側でもあの、まとめさせていただいたんですが、ちょっとお
[16:09] speaker_0: 時間も限られているというところで、一旦営業的な話をちょっと中心に今回お話しさせていただければなと思います。が、一旦どうしましょうか。まず先に要件定義書について佐々木様の方から何かご説明と何かあればあればなんですけども
[16:27] speaker_1: はい、そうですね。内容的にはどうでしょうかね。見ていただいて、今日ご説明ある程度させていただいた方がいい感じですかね。それとも大体も見ていただいたので、どう感じでしょうか
[16:41] speaker_0: 一旦私たちの方では、一旦、さらっと体験させていただきました。
[16:48] speaker_1: 逆に内容の方で何か質問等あればっていう形でよろしいですかね
[16:53] speaker_0: でしょうか。わかりました。ありがとうございます。
[16:55] speaker_1: ちょっと一つ、すいません。紹介だけでよろしいですかね。
[16:59] speaker_3: はい、
[16:59] speaker_0: ありがとうございます。
[17:00] speaker_1: 今回ですか、ユリンプロ、ファンコミュニティサイトの要件の整理とか、その辺ちょっと検討、支援をお願いしている当社の方から業務委託という形でコンサルをお願いしているカタバミさんになります。今回はいろいろ資料事前に
[17:21] speaker_1: 作っていただいたのカタミが分かんないですので、何かご質問等あればお願いします。カタバミさんよろしくお願いします。はい
[17:28] speaker_4: 改めてカタバミです
[17:34] speaker_4: ユーニープロさん国分プレスグループ様からご依頼いただいて、ユーニープロさんのファンコミュニティの立ち上げのところをコンサルティングしていくというところで、また完成後も一年間は運営をさせていただくというところで、実質的に私の方で運営を回しながらユーニープロさんが自走していく形に最終的にしていく、というお話になっています。なのです。今回のプラットフォームに関しても私の方から基本的な設計であったりとか思想みたいなところは提案させてもらって、なお国分プレスグループの皆様にもサポートいただいておりますが、一番思想を持って
[17:54] speaker_4: 形に最終的にしていくっていう、そういったお話になっています。なのです。今回のプラットフォームに関しても私の方から基本的な設計であったりとか思想みたいなところは提案させてもらって、なお国分プレスグループの皆様にもサポートいただいておりますが、一番思想を持って
[18:14] speaker_4: て作っているのが私というところでご理解いただければ幸いです。よろしくお願いいたします
[18:18] speaker_0: ありがとうございます。よろしくお願いいたします
[18:25] speaker_0: すみません。早速なんですけど、ちょっと営業的なご質問等をいくつかさせていただければなと思います。中さん、私の方からちょっと質問をいくつかしても大丈夫ですかね。はい、ありがとうございます。まず全体の予算とかをお聞きして、その予算を踏まえ、どういうふうにゴールを目指していくかといった全体の思想だとかをお伺いできればなと思いましたので、そこらへんをお伺いさせていただきたいと思います。
[18:45] speaker_0: ながら、どういうふうにゴールを目指していくかっていうところの全体の思想だとかを、ちょっとお伺いできればなと思いましたので、そこら辺ちょっとお伺いさせていただきたいと思います
[18:57] speaker_4: 。はい、かしこまりました。予算に関しては特別すごく指定をしたいわけではないんですけれども、とはいえ目安がなければと思うので、やはり四桁万円に乗ってしまうと、少し大型になってしまうなというような
[19:16] speaker_3: 感覚をまず。
[19:16] speaker_4: 感覚をまず。持っています。既に他社さんの方にもお見積りは出していて、そちらはおおむね500万円前後のところで、そこをボリュームゾーンとして提示を頂いている、という状況もあり、とはいえ使う技術・使いやすさ、その後の保守管理っていうところも含めて
[19:36] speaker_4: 考えればそれにこだわる必要はないかなというのも思っておりまして、御社のご提案を待ちたいなというふうに思っています。ありがとうございます。
[19:46] speaker_0: 承知しました。あとはですね、全体のマスタスケジュール、全体のスケジュールに関してどういうふうにお考えしているかというところも、ちょっと合わせてお伺いできればと思います。
[19:57] speaker_4: かしこまりました。要件定義は最初にも書きましたが、元々は五月のゴールデンウィークくらいでオープンしていきたいというところで始まったプロジェクトでございましたが、プラットフォーム作りはやはり慎重にというか、しっかりやっていこうというところでオープンを遅らせておりまして、6月末
[20:17] speaker_4: には一度ユリンプロさんの内部の研修生の皆さんを招待してプレオープンのような形をとって運営になれる期間を取っていきたいというように、もともと予定をしています。なので全部完成でなくて、最低限人を集めることができる環境
[20:37] speaker_4: 6月末にでき上がっているとありがたいなと思いながら、ただあくまで内部の人たちを集めるというところなので、そこが仮に遅れたからといってすごく大きな影響が出るかといってそうとは相談次第っていうところでございます。で、実際にオープンして二ヶ月三ヶ月ぐらいはです
[20:58] speaker_4: ね、内部のメンバーで回したらちゃんと外の外部に対してPRをして一般のユーザーに開放していきたいと思っています。その頃には、例えばちょっとしたバグであったりとか、改善であったりとかっていうところは連絡していて、コミュニティとしてきちんと走り出せている状況になっていると、ありがたいなというようなそういったスケジュール感
[21:18] speaker_4: で、今のところは
[21:19] speaker_0: ありがとうございます。
[21:28] speaker_0: えーと、はい、ありがとうございます。あと、細かいサイトに関する質問事項とかにはなってしまうんですけども
[21:37] speaker_0: 例えばなんですけどもファンサイトっていうことですとファン同士のコミュニティの場っていうところもありますので、工場所属っていうことでNGワードとかをどこまでちょっとするのかとか、システム的に弾いて行っていくのかとかっていうところも
[21:57] speaker_0: どうお考えかなんてところを少し軽くお伺いできればなと考えています。
[22:03] speaker_4: ありがとうございます。一つは
[22:08] speaker_4: これをNGに設定してくださいという形も
[22:13] speaker_4: ありたいんですけど、できればその設定画面みたいなものがあって、自分たちでどんどん打って足していけるようなDiscordとかそういったようなイメージ感の方がいいかなとは思っています
[22:30] speaker_4: 。あと、もう一個は
[22:36] speaker_4: それを全て管理していくのって現実でいいのはちょっと難しいと思うので対処療法的に法の表現良くないなって言ったら管理者の方で追加入れていくっていう運用のイメージなんですけど現代で言うとこのSNSのグラビティとかああいういわゆる過激なマシュマロとかああいうもののように過激なワード。
[22:56] speaker_4: は最初から伏字になるとか弾いてしまうというようなAIによるチェックを挟むっていうこともまあコスト的に。
[23:05] speaker_4: はコスト的には多分その外の一般のSNSよりもだいぶ小規模で運用できるのでそこまで膨大な費用でなくできるのかないかというのは思っていますけれども、っていうところで。
[23:19] speaker_4: 個別に設定するかそういった絵を活用するかっていうところですが、できるだけNGワードが増えるたびに御社にお願いするっていうような形でお互いに手間を取るっていう形ではない形式が嬉しいなというふうに思っています
[23:26] speaker_4: 分かりました。ありがとうございます。
[23:34] speaker_0: あとちょっとですけど、例えばなんですけど、ちょっと脆弱性とかの試験とかで脆弱性の試験をどういうふうにやるかっていうところで、例えばなんですけど、弊社側の方でレポートをもらって弊社側で対応するっていうやり方なのか、またはまた別
[23:40] speaker_0: のやり方でやるのかっていうところの考えとかも少し伺いできればなと思っております
[24:01] speaker_0: ありがとうございます。
[24:07] speaker_4: そうですね。脆弱性のチェックを御社だけで全て行ってくださいというと開発も相当大変だとは思うので、まずは私たち、私とUniPro側の管理者でチェックするっていうのが初期段階としてリストに出して、それを修正していただくという形がやりやすいのかないのか、は
[24:10] speaker_4: 思っています。
[24:30] speaker_4: 思っています。そのうえで先ほども言った通りプレのオープン期間というところは本当に根幹の決済が何重にも入ってしまうみたいなそういったトラブルがなければ基本的には身内で回していくので、そこではこうある意味大規模なデバッグを行っていくあのユーザー ユーザーに半
[24:50] speaker_4: 分かり協力してもらってベータテストのような形でデバッグを行ってもらうっていうことも決して不可能ではないと思っているので、そのように考えています
[24:59] speaker_0: なるほどですね。ありがとうございます。
[25:10] speaker_0: はい。ありがとうございます。すみません。先ほどちょっとスケジュールのところですが見落としてしまったところがあるんですけど、全体のスケジュールのところで、例えばなんですけど、まあRFPみたいな形で弊社から提案書とかの流れを作って、全体のスケジュールと提案書から発注までというところ
[25:30] speaker_0: で2軸でちょっと段階を分けて考えているんですけども、そうなったときに一番に提案書を
[25:40] speaker_0: に提案書を作
[25:41] speaker_3: 成して発注いただくというところのスケジュール
[25:42] speaker_0: っていうところも、ちょっとお伺いできればなと思います。細かくなってしまうんですけども
[25:48] speaker_4: どちらかというと
[25:53] speaker_4: 御社の方で実際に作成を検討していただくにあたって現実的なスケジュール化をまずは知りたいというのが前提としてあるんです
[26:05] speaker_4: ね。やはりこちらとしては6月末にはオープンしていたい、最低限おさえる場が欲しいというところはあるんですけど、それももうちょっと後ろに行くなしいは6月末にオープンするには何月までにいろんな打ち合わせ終わってなきゃいけないよっていうところを御社またでできれば提案いただければありがたいかなた。他社
[26:25] speaker_4: さん等々に関しては一応もう条件出揃って最後も比較検討する段階でございますので保護者の条件が出揃えばあとは本当にじゃあ緊急で集まってしっかりその三者さん御者さんを比較して決めましょうっていうところで決めてしまえばいいというところなのでそんなようなイメージでおります
[26:46] speaker_0: 承知しました。では弊社の方から現実的なスケジュールというところをちょっと検討した上でお渡しするお送りするということで、ご相談させていただければなと思いますので
[26:59] speaker_4: では
[26:59] speaker_0: ありがとうございます。
[27:03] speaker_0: ちょっとすみません。私の方からバーッとあの質問させていただいたんですけども、他に弊社メンバーの方から何かお伺いしたいこととかあればお願いしますがいかがでしょうか
[27:15] speaker_2: すみません。たか雄ですが、ちょっといくつか込み入った話になるかもしれない
[27:20] speaker_3: です。
[27:21] speaker_2: けどあの面談という今回まずお話をいただいたことは大変嬉しく思っています。ありがとうございます。それで面談になるという条件も頂いております。面談になること自体は通常の弊社の仕事として全く問題ないというか当たり
[27:41] speaker_2: 前のことなんですけど
[27:44] speaker_2: こういった弊社に声をかけていただいた理由というか、相見をして今もう比較検討が弊社待ちという中で弊社にお声をかけていただいた、何か理由って特にあるんですかね
[28:01] speaker_1: はい、いいですか。これ、私の話はすみません。はい、当社の社長の方からです。今、検討が進んでいる中ではい
[28:13] speaker_1: 櫻井さんというか御社の紹介がございまして、こちらでコンピューター・ハイテクさんの方でちょっと相見積もりをしてみてくださいという形で社長の方から多分どなたが免責があってお召し合わせていただいてっていうことと指示がありました
[28:33] speaker_1: した
[28:33] speaker_2: ので
[28:33] speaker_1: ちょっとご連絡差し上げたというか曽我
[28:34] speaker_2: 要は国分社長の方からそういう指示があったということなんですね。突然我々が割り込んでしまったみたいなイメージ
[28:43] speaker_1: ですか
[28:47] speaker_2: そういう中で待っていただいているということなんですけど、我々に期待することって何かありますか。現状多分見積もりが出ている中で
[29:02] speaker_4: 私からで良ければ
[29:03] speaker_1: はい
[29:04] speaker_4: はい。あまり隠して何でしょう
[29:11] speaker_4: あまりこの見積もり云々で交渉するよりはもう開くけに行きたいんですけど、一つはいわゆるエンジニアたちが集まっているようなグループのところに声をかけてお見積りを依頼しているのですごく、スピーディーで安価であるっていうところがあるんですけど、逆に更新体制であった
[29:31] speaker_4: りと納品体制保守体制っていうところには若干の懸念がある。で、もう一社のところは会社として行っており、いわゆる最新のノーコーナーであったりAI開発っていうところを前面に取り入れているところです。なので、そこに関しては開発も早くてコストもっていうところで非常にスピーディーではある
[29:52] speaker_4: んですけれども同じようにAI開発であったりとか、あと会社としての歴史のところの浅さみたいなところも含めて
[30:00] speaker_4: 一つもそれとは別のところにきちんとお話を聞いてみたいっていうところがやっぱりありました。Computeticさんはすごく大きく立派でも歴史もありますのでそういった補修体制であったりとか脆弱性に対する対応であったりとか法的な懸念部分をきちんと解消してくれる
[30:20] speaker_4: それらそういったことが期待できるのではないかというのが私が一番強く感じているところです
[30:26] speaker_2: ありがとうございます。
[30:29] speaker_2: そうすると
[30:32] speaker_2: 他の二社さんというのはあまり会社規模としては
[30:35] speaker_1: としては大きくなくて開発のスピードだとか単
[30:40] speaker_2: 価 的には多分満足の内容だと思うんですけど、その後システムの保守その後改善もしていかなきゃいけない。多分長い間システムを運用するので、その辺に少し不安を感じてるというそんなイメージですか
[30:55] speaker_4: そうですね。もう見積りの王道として小規模、中規模、大規模という形で取らせていただきたいというところも私個人も思っており、古墳社長からのご提案は非常にありがたかったなと思っているところです
[31:10] speaker_2: 分かりました。ありがとうございます。ちょっと私からは以上です
[31:19] speaker_0: 小林/ありがとうございます。かなりか。小林さんとか大丈夫ですかね。はい、ありがとうございます。そうですね
[31:28] speaker_0: 弊社側も含め、あと質問事項なければ次のアジェンダに移らせていただきたいと思います。はいよろしくお願いします。ありがとうございます。えっとですね、最後に次回のお打ち合わせについてなん
[31:43] speaker_3: です。
[31:43] speaker_0: が今回はWebの形なので、もしよろしければこちらから対面の方でぜひお打ち合わせをさせていただければなと考えておりますがいかがでしょうか
[31:58] speaker_4: 私自身は大丈夫なので、佐々木さんであったり佐々木さんであったりのところで、ちょっとお願いします
[32:05] speaker_0: 分かりました。ありがとうございます。じゃあ日程については
[32:11] speaker_0: 後日改めて私の方から佐々木様宛にメールでいくつか広報日を送らせていただきたいと思いますのでご返信のほどよろしくお願いいたします。
[32:24] speaker_1: ちなみに場所はどうしましょうかね。
[32:28] speaker_0: そうですね、えっと弊社はでも大丈夫です
[32:32] speaker_4: かね。はい。大丈夫
[32:37] speaker_0: ですかね。場所は弊社でも構いませんし、私たちの方からお伺いする形でも全然構いませんので、弊社側は合わせて対応できるので何かありましたらご連絡ください。
[32:54] speaker_1: 小木さんはい。次の打ち合わせ面談なんですけどもはい。できれば
[33:04] speaker_1: どちら三丁目の
[33:07] speaker_1: の新しいビルか新しく購入した新ビルの方。こちらは5月24日です。引っ越しの準備が進んでいるんですよ。おお。はい。引っ越しが終わればそこを二階の部所ですけど内装終わりましたので
[33:28] speaker_1: 会議室で使います。ちょっとまだバタバタしてるようであれば四谷さんちょめのコクーンを
[33:34] speaker_0: 。
[33:36] speaker_1: もしそれでも駄目であれば
[33:40] speaker_1: 先代君あそこポーカーテーブルを始めて会議室使えますので
[34:03] speaker_1: のではそちらがありがたいです。はい。そのときにある程度のスケジュール感とこんな形で持ってきてもらっての対応をするのがちょっといいのかないっていうふうに思います。そうですね。はい、じゃあ私たちは東京にぜひいらっしゃいます。わかります
[34:20] speaker_3: した
[34:21] speaker_1: はい、じゃあ、その辺の細かいところも合わせて
[34:24] speaker_0: そうですね。メールの方ではご調整させていただければと思います。のです。よろしくお願いいたします。はい、ありがとうございます。では、いったんアジェンダについては以上になりますので、他の何もなければこの回は終了とさせていただければと思いますが、皆様よろしいでしょうか
[34:43] speaker_1: はい
[34:44] speaker_0: すいません。本日はお忙しい中お時間をいただきありがとうございました。ありがとうございました。
[34:48] speaker_2: ありがとうございました。ありがとうございました。よろしく
[34:50] speaker_4: お願いします
[34:51] speaker_1: ます。失礼いたします
[34:54] speaker_0: 。
[55:08] speaker_5: お好み焼き。ご飯、混ぜご飯にし
[55:11] speaker_4: よう。食べるのは全然していいけど
[55:13] speaker_5: いや、もうご飯炊いたつもりだったから、ちょっとありました
[55:15] speaker_0: た。あ、それはどうも昼食べたかったからね。
[55:16] speaker_4: ひろちゃんまだ待っててね
[1:32:44] speaker_4: よ
[1:42:47] speaker_3: ハグし
[1:42:54] speaker_6: よう、ハグ
[1:42:57] speaker_3: に
[1:44:11] speaker_5: てたカリカーニってカニカーニか
[1:44:55] speaker_6: にか
[1:44:58] speaker_0: にかにさんかに
[1:44:59] speaker_3: かにさん
[1:44:59] speaker_6: かにさん
[1:45:04] speaker_3: かにさん
[1:45:04] speaker_5: かにかにバーガー
[1:45:06] speaker_6: は食べる
[1:45:07] speaker_0: バリアリ
[1:45:08] speaker_5: ハンバーグか
[1:46:20] speaker_3: て
[1:46:24] speaker_5: ならない。私、割れちゃう
[1:46:27] speaker_0: 。
[1:49:26] speaker_6: 入ってあと
[1:49:28] speaker_5: でガラスが割れてしまうかもしれないから、これ下がっちゃうかもしれない
[1:49:46] speaker_3: から
[1:50:12] speaker_6: ん
[1:51:02] speaker_5: はい。ありがとうございました。
[1:51:05] speaker_3: ほ
[1:51:06] speaker_6: やってください。ここから
[1:51:10] speaker_6: ポイっといきましたよ
[1:52:34] speaker_6: 後形
[1:52:37] speaker_5: ハートなんだ
[1:52:37] speaker_6: ろ、ほら、後の目だ
[1:52:42] speaker_5: よ、ハートが目だ
[1:52:44] speaker_6: からね
[1:53:12] speaker_6: 一回せいだもう
[1:53:19] speaker_6: つかぶりかこれ
[1:53:22] speaker_6: で逆さまにな
[1:53:23] speaker_3: って
[1:53:24] speaker_5: それは危ない。被って飛ぶのはいけ
[1:53:27] speaker_6: ので被って飛ぶの
[1:53:31] speaker_3: い。うん
[1:53:32] speaker_5: へえ、はい
[1:59:47] speaker_0: た
[1:59:51] speaker_0: 。
[1:59:52] speaker_5: もうお腹いっぱいですか。食べられて
[1:59:56] speaker_0: 。
[1:59:56] speaker_5: お腹いっぱい
[2:00:00] speaker_5: 。お腹は何て言うかね
[2:00:03] speaker_0: 。
[2:00:05] speaker_5: うるう
[2:00:05] speaker_6: るき
[2:00:07] speaker_6: ます
[2:00:09] speaker_3: ね。
[2:00:44] speaker_3: マスク
[2:00:50] speaker_6: して
[2:00:53] speaker_5: マスクだから大丈夫
[2:00:55] speaker_0: 。
[2:00:55] speaker_6: マスクじゃない
[2:00:57] speaker_0: 。
[2:00:57] speaker_5: マスクしないのか
[2:00:58] speaker_0: 。
[2:01:43] speaker_0: は
[2:01:47] speaker_3: これは
[2:01:48] speaker_6: 西道さん
[2:01:49] speaker_0: 。違う。こっちはこっちはこっちさん。
[2:01:51] speaker_5: ん。こっちはこっちさん。こっちはこっちさん
[2:01:52] speaker_3: 。こっちはこっちさん
[2:01:53] speaker_0: 。
[2:01:58] speaker_5: これは何キリンさんです。何
[2:02:04] speaker_6: しばんは。どう
[2:02:05] speaker_5: しまうわ
[2:02:05] speaker_0: 。
[2:02:05] speaker_5: 春は
[2:02:06] speaker_6: ダイ ヤ お
[2:02:09] speaker_5: さる お さる
[2:02:10] speaker_0: 。
[2:02:11] speaker_5: おさるジョージだ
[2:02:13] speaker_6: ね。ジョージみたい。さっきも見てたジョージみたいよ
[2:02:18] speaker_0: 。
[2:02:51] speaker_0: チークの調理チー
[2:02:53] speaker_5: とってください。これでチートってください
[2:02:58] speaker_5: 。はい、どうぞ
[2:02:59] speaker_0: 。
[2:04:00] speaker_4: のところ
[2:04:00] speaker_0: をしてみ
[2:04:01] speaker_5: よう。はい、じゃあアジアのどれだ
[2:04:06] speaker_0: これ欲しい。
[2:04:07] speaker_5: あ、ありさんのあはど
[2:04:09] speaker_1: れこの
[2:04:10] speaker_5: 赤い中のヒント。有様はどれ
