タイトル: SaaS開発における初期費用設定の見直しとプロジェクト進捗の現状報告
録音ID: rec_20260416143242
文字起こしID: 20
録音日時: 2026-04-16T14:32:42.147Z
[03:13] speaker_0: なんかそんな感じのことを思ったのです。なんか流れちゃったことにしてもまあいいっちゃいいし
[03:21] speaker_0: 200万ぐらいで見積もり出そうかねーっていう気持ちになってきたっていう
[03:28] speaker_0: まだ現段階
[03:34] speaker_1: です
[03:39] speaker_0: 管理責任はむしろこっち
[03:50] speaker_0: 結局管理責任を向こうにしたところで向こうは日商さんが法的な何ですか契約でこっちに責任を負う契約に設定するんです。それができるから法人がいいって言ってるわけで。日商が追うっていうふうにはね
[04:12] speaker_1: 何
[04:14] speaker_1: で
[04:17] speaker_1: しょう
[04:19] speaker_0: そうそう、果たさせるっていうので、結果的にそっちの契約ではあなたが果たしなさいに絶対になるんです。日商がどの契約だとうちが潰れるんだったら、うちが大体のところをきちんと持ってきて紹介しなさいとか引き継ぎまでするようにみたいな。多分そっち系の契約になるはずなんです。よってなってくると日商を挟む意味も
[04:39] speaker_0: よく分からないってたけど、一点勘違いしてたのが日商はしっかり子会社らしいです。国分さんの、そうなんかそこは勘違いしてたのでなぜじゃあコンテンツ挟まってるんですかって、一体コンテンツに関してはなぜか挟まってるって言ってて
[04:58] speaker_0: なんかそれが面倒くさい。多分これ、会社内のあれなんでしょうけど、矢崎さんというコンテンツの人は別のところの部長かなんかやってるような人で
[05:13] speaker_0: なんかだからおそらくこう、会社内での何ですか
[05:18] speaker_0: 何ですか、あのロンダリング
[05:22] speaker_0: のための会社っぽい
[05:26] speaker_0: 結局
[05:32] speaker_0: 結局、循環取引とか連結決算とかいろいろ何かあると思うんですけど、この人が動いてるってことはこっちの会社の動きだよね、みたいに突っ込まれることってあるじゃないですか。多分僕玉置さんと僕が別れてたみたいな感じで。そういう隠れ蓑としてコンテンツって
[05:53] speaker_0: のは便利なんだろうかと、何か勝手にシェアしたんですけど。本来はコンテンツの人じゃないんだよ、みたいな話をちょうどされてそうなんですかみたいな、そういうのも含めてなんかでも子会社色々絡むのもだるいっちゃだるいからやっぱ単純に
[06:13] speaker_0: こう、ユリンさんにうちのサービスを使ってもらってるのが一番シンプルです、っていうことと、他社に頼んだら管理費10万は最低でもかかるけど、うちならサブスクでやりますよとか、今後の開発もうちはサービス拡充しないからどんどん機能を改善していきますよって、それそのまま別に
[06:33] speaker_0: 追加費用はいただかずに御社内にも適用しますよって、普通のSaaSのあるあるじゃないですか
[06:41] speaker_0: バージョンが上がっていきますよって、それもそっちで管理したら、何か変えたいと思うたびにお金かかりますよって、そういうふうな企画がちゃんとできれば初期費用200万円ちょっとに持ってった上で月10万もしくはパーセンテージ
[06:59] speaker_0: サービス変更いけんじゃねえかね、むしろそこコスト部分をしっかり算出しておいてプレゼン資料を作ることが大事かもな、そんな感じがしてきました
[07:25] speaker_0: そうなんですよ
[07:28] speaker_0: それを前提にしたくてもとともと僕がいくつかやってるコミュニティとか、今だとしっかり関われてるのって現実的には
[07:42] speaker_0: このユリンさんのところとあと下僕さんとことあとがっつり関わってるところで言うと、ミスター武士道の友達のところのやつはリニューアルしようって言って
[07:57] speaker_0: あの戦国話の前場富雄さんのところですね。富美さんはしっかり依頼もらって今これからリニューアルかけていくんです。
[08:17] speaker_0: からちょっと変えましょうって言いづらいけど
[08:22] speaker_0: あとは単純に他のインフルエンサーさん含めて新プラットフォームでできましたよ、っていうことで声かけて営業してみる。ぶっちゃけ、できなくはないと
[08:47] speaker_0: 僕の中の理論としては、そこが一番強い、あの、なんでしょうね、ところなのと、あとアマボブはすごい乗り気ではないけど、そこらへん
[08:59] speaker_0: ほったらかしにしてるジネンさんっていうコンサル会社僕が
[09:06] speaker_0: すごい空気が合わないって言ってるところにプラットフォーム自体を売るとか貸すってことはできるプラットフォーム持ってないんで
[09:16] speaker_0: 営業の時使ってくれて、うち依頼してくれればバックしますよとかっていう提供は多分できるんで
[09:26] speaker_0: あと、単純に営業掛けてって思いますけど、うちのプラットフォームただで使ってくださいっていうのは結構言いやすいんですけど
[09:34] speaker_0: 御社のやつをタダで作りますよって言ってもあんまり響かないっていうのがあったりし
[09:47] speaker_0: ても、お金もいりませんからって言われても実績欲しいんだろうって思ってあの時スルーしてたんで
[09:55] speaker_0: なんかテスト期間なんで良かったら無料で構わないので使ってくださいってくらいの感じにして営業掛けようかないと、思った時もやっぱり商材を自分で持ってることってすごい重要だなと
[10:09] speaker_0: 実際も作れてるんだから売らないではないなと思ってるわけです
[10:17] speaker_0: とそんなことを今考えていますので、まあここまでさんのところは是非撮りたいっていうところは当然なんですけど、なんか他にちゃんと転用できるような形で、どれくらいのコスト感を維持できるのか、とか
[10:38] speaker_0: どれくらいでセットアップできて石井さんの手間がどれくらいかかるのかと、この辺りもちゃんと見越しとかないとコスト算出が甘えてきないままで進みそうだなと
[11:11] speaker_0: そうですね
[11:17] speaker_0: 僕もできるとは思う
[11:22] speaker_0: で、もう一つは別の話なんですけど、あのC3さんと話したんですけど、全然いい雰囲気で話したんですけど
[11:31] speaker_0: 普通にクラウドの画面をデモ画面で見せられて
[11:36] speaker_0: ほぼクラウドで作ってるっぽいですね。でも結構SNS機能に関してると、もうさくっと作ってましたね
[11:45] speaker_0: UIも結構きれいな感じでクラウドっぽくないというか、きれいな
[11:51] speaker_0: モックはやっぱあると強いよなって思ったんですけど、なんかやっぱノーコードとこういうAIコーディングって相性良かったんだなって単純に思いました。ノーコードってブロックごとにいろいろ区切るじゃないですか、感覚的に
[12:12] speaker_0: そのノードを繋いでいくみたいな、だからそのパーツパーツを分解して作るみたいなところがなんかAIコーディングと相性がいいんだなって感じたんですよね。見てて
[12:35] speaker_0: びっくり
[12:38] speaker_0: まあでももうどこで辞めちゃったらしい辞めちゃってはないけど、本当に簡単なのだけノーコードで作って、ちょっと複雑になったらもうエコーディングした方が早いし、いいものできるっていうんで
[12:54] speaker_0: そのセキュリティ上の検証とかも、しっかり、元々は自分たちで一から返した人間だろうから、ちゃんとできるんですって
[13:03] speaker_0: なんで逆に言うと、うちはそこは突っ込まれそうではあるなと、思ったんで。
[13:14] speaker_0: そう、突っ込まれそうというか、なんかね、もしあったらどうするのみたいなところは確かになと思うんで。
[13:31] speaker_0: でもそもそも思えない設計にするべきだと僕は思ってるので、埋もれない設計をする時は、プログラムの設計というよりは、個人情報を出せないもののシステムにする、という意味で。
[13:47] speaker_0: 漏れても問題ないように作る方が正しいのか、思っている。
[14:16] speaker_0: でもそうか、確かに大学とかで行ったらね、ちゃんとしますもん。
[14:27] speaker_0: ね、相当しっかりしていますね。
[14:36] speaker_0: めっちゃいいじゃないですか。
[14:39] speaker_0: 実績いいじゃないですか。
[14:53] speaker_0: はい、はい。
[14:56] speaker_1: フロント。
[14:59] speaker_0: はい、はい、はい。
[15:10] speaker_0: へー、ほいほい。
[15:32] speaker_0: ブラウザ上でも確かにあのジェンスパークとかもそうだしブラウプレイブもブラウザ上で組み込まれてるAIって必ずありますけど。
[15:45] speaker_0: でもスマホだとどうなんですか。スマホでも問題なく。
[15:57] speaker_1: すごい。
[16:23] speaker_1: すごいいいですね。
[16:29] speaker_0: ちょっと。
[16:34] speaker_0: 結局、先方の都合に引っ張られてズルズル後ろに行っているのが嫌なので、決着はつけちゃいたいのです。
[16:44] speaker_0: 絶対月末間に合わないです、もんだって。二月の半ばぐらいにプログラムでトラブったのにもう四月半ばですから、大手の仕事って遅いんですよね。
[17:02] speaker_0: 入ったもんだ。
[17:07] speaker_1: だ。ウィスキー自体はオープンソースですから、最悪ダメって言われたらもう引き抜く以外の話はない。
[17:08] speaker_0: そもそも全く問題ないし。
[17:29] speaker_0: なんでしたっけ、なんかそんなの使うって言ってましたね。C3をFirebaseか、もう一個のなんとかベース忘れちゃった。
[17:52] speaker_1: けど。
[18:29] speaker_0: こだわる必要はない。
[18:36] speaker_0: ない spr base でした。spr base
[18:44] speaker_0: aceの方がグーグル系だから、お客様的には安心な気がしますけどね。
[18:51] speaker_0: うん。で向こう側には月コストで言ったら五千人ぐらいなら二万ぐらいだって言っててツールは。
[19:02] speaker_0: なんで純粋に
[19:06] speaker_0: サービス展開していくにしても、実際かかるコスト、VPSを借りるのか、ワイヤレスを借りるのかですけど、月いくらかかっているかというところだけはっきり見えてくれ。
[19:23] speaker_0: ば、こっちは
[19:41] speaker_0: はい、はい。
[19:50] speaker_0: あ、そうなんですか。
[20:00] speaker_0: 普通にSNSですか。
[20:04] speaker_0: 今日は開かないですけどね。
[20:09] speaker_0: 押しても、ずっとあのアイコンの画面とUIはコミュニティという画面になっちゃって、開かないですよ。
[20:26] speaker_0: オフラインでした。なんだ？
[20:31] speaker_0: として動くのかな。
[20:35] speaker_0: やっぱり開かない。オフラインになって。
[20:42] speaker_0: なっちゃった。何なんだろう。そのせいかな。実は。あ、VPNのせいだも。
[20:47] speaker_0: ん。何かしらのVPNのせいでした。
[21:07] speaker_0: 個人的にはちょっと。
[21:10] speaker_0: そうですね。
[21:15] speaker_0: 第三者にはでも発行させなきゃいいだけですよね。今はもうOKしちゃったから、和のことには関してはもうちょっと置いとくとして実験台。
[21:30] speaker_0: ただ、設計上のウィスキーを必ず使わないでいたら、そこを大体のものを作るっていうことだけが必要になると。
[21:42] speaker_0: うん。まあ、それはそれでも作れるんじゃないですか。元々ゼロからSNSを作ったわけですから、SNSってどんな作りかを把握していると思うんで。
[21:53] speaker_1: 把握されてると思うんで。うん。
[22:03] speaker_0: じゃあ、そのことにスキーなんか使わないでやります。
[22:09] speaker_0: うん、そしたら全部自前で作ってるもので、どこにも依存しない、うちだけのサービスって話になるじゃないですか。
[22:19] speaker_0: 連合とかはぶっちゃけやらなくてもいいんじゃないかと思うし。
[22:27] speaker_0: 相当綺麗なケースですよね。連合を使う時って。
[22:52] speaker_0: 最悪、やりたいというより同じシステム化したら連合も作れそうですけどね、正直。
[23:01] speaker_0: 同じところのサーバーで表示口だけうまく変えてあげりゃいいって話で。
[23:20] speaker_0: どっちにしてもSNSを作ってみるのもありか。
[23:27] speaker_0: 実際のところ、確かにその先方のどこでしたっけ、C3もすぐ作れそうでしたからね。
[23:51] speaker_0: です。
[24:00] speaker_0: ね、じゃあとりあえずでもそんな方向性にちょっと自分の中では行ってみようかと思うんで。逆にその安全性と維持費と単純なコストの部分と未来に拡張性かないのぐらいがこっちから提示できると、それで250万とか出してた。
[24:20] speaker_0: ら、たぶん選ばれると思うんですよ。さすがに自社で管理するコストと結局そこから外注費払うコスト考えて
[24:31] speaker_0: それで750万出してまで自社で持つ必要があるのかって話じゃないですか。
[24:55] speaker_0: うちは何かしらの何か申請をちゃんとしなきゃいけなくなるのかもしれないけど。
[25:07] speaker_0: DMRでしょう。志望校がするのは全く問題ないし、法人を立ててっていうらたはただ立てるのも問題はない。会社ですけど株式かな。株式で建てちゃおうか。初期費用だけなら
[25:25] speaker_0: このタイプのオーナーを売れた方がいいですよね。
[25:29] speaker_0: SNSとかはね、じゃあそんな感じに頑張る。
[25:34] speaker_1: かっていう。
[25:36] speaker_0: ところで、実際だとプラットフォームさえ回ってくれれば、売上も定期で立つわけですから全然。
[25:48] speaker_0: あり。
[25:55] speaker_0: ですよね。うん、会社からってのはできますかね。そうするとなんかいいことあるんですか、節税的な。
[26:08] speaker_0: 株式を分けるって事もできるんですよね。そもそも
[26:13] speaker_0: もちろん五種とかだと思えちゃうでしょうから、僕が多めにするにしても株を持っててもらっててもらってっていう、それはありですよね。全然。それは一連タクシーいい感じ。
[26:39] speaker_0: いや、そうですよ。
[26:42] speaker_0: ここまで来たらもうね、最高の結果にしたいですから。
[26:51] speaker_0: いいじゃないですか。全然詳しくないんで、あの、それですけど。
[27:00] speaker_0: さすがに税理士は付けようとは思いますよ。
[27:06] speaker_0: 節税効果の方が高いと思うので、付けた方が自分で頑張れ。
[27:13] speaker_0: より。
[27:16] speaker_0: とんでもないマイナスで。
[27:29] speaker_0: 弁護士と税理士は必要だなとは思ってるので、株式会社に誰か本当に何か500万ぐらいだけでも出したり出してくれたりゃ、そのあたりが1年ぐらいはね、色んな所払っても1000万円と思います。エンジニア費用がこうグッと上ってる分、本
[27:49] speaker_0: 当然必要なホーム部分だけ。
[27:53] speaker_0: 当然、そのあたりは何とかなる気もする。あとは本当にローンチできたらとにかく営業できるので、僕がかけることがそもそもできるので、物さえあれば大手さんとかにも全然新リリースしたんでってファンクラブ良かったら、うちでって当たってみるの。
[28:14] speaker_0: もう全然ありだと思ってるので。
[28:21] speaker_0: じゃあちょっとそう。
[28:24] speaker_0: という感じで今います。目の前でここでどうにか500万引っ張ろうよりは剣に買った方が絶対熱いと思うし、で、もう一個ちょっとそれでアイディアというか法的なとか分からないです。初期利用をやっぱゼロ円にしてあげたいとは思ってるんです。
[28:44] speaker_0: ユーザーに対して、ユーザーとクライアントに対して。国分差別です。国分差別で。でその時にでもゼロ円でSaaSにするとなく辞められた時に赤になるよねって当然思うので、単純に200万とかで契約はするけど分割払いみたいなのできないのか。
[29:08] speaker_0: 100万とか、コミュニティのプラットフォーム使用料は百万円です。初期用ゼロ円モデルありますよって言って24回払いとか。僕全然仕組みはそう、携帯電話的な詳しく分かんないですけど、100万円で24回払いなら月4万1000円。
[29:29] speaker_0: 円なので4万円で行きましょうって。それから
[29:37] speaker_0: 二年はコミュニティが絶対続く。
[29:41] speaker_0: し辞めますって言ったら金じゃあ残りでも払ってくださいって言えるし。
[29:55] speaker_0: 契約書でするだけですよね。基本的に。
[30:01] speaker_0: 毎月4万円払うみたいな
[30:06] speaker_0: なんかそんなローンとかでもなく、普通に契約上分割で払ってもらって、中途解約の場合は残金を一括で払ってくださいっていうのにしておくと、いけるような気がするんですけど。
[30:30] speaker_0: ですよね。でも、そうやってしてけば目の前のキャッシュは当然減るわけですけど、まあ安定はしてくっていうか。
[30:44] speaker_0: あと、取りやすいかって、頭で100万円払えるよりは頭金15万円とかにして、残りを分割で二年間。
[30:59] speaker_0: なんてね。
[31:01] speaker_0: まあちょっと思ったわけです。
[31:07] speaker_0: こういうのも、そういうのに詳しい人いたらありがたいけどな、チームの中に。
[31:20] speaker_0: ゼーリッシュの人とか、なんか強いですよね。こういうの、なんかいたら。
[31:30] speaker_0: なんか辛いな。あ。いい。
[31:35] speaker_1: な。
[31:39] speaker_0: 今だったらAIでできないのかもしれないですけど。頑張ってないように作れば。
[31:48] speaker_0: まあそんなことを思って、なんか良いアイデアだなと思ったんで。でたまたまあの先輩のエンジニアたち一応声はかけている、ままにはなってるのです。
[32:00] speaker_0: なんか単純に石井さんの中でなんか苦手な分野だったり、こうした方がいい部分があるとか、なんか繋いでおいた方が良いのであれば繋いでおこうかなぐらいスマホのアプリ化の部分ぐらいかなと思ってんですけど、それもどうなのだろうかって思ったり。
[32:33] speaker_0: そうなんです。
[32:37] speaker_0: か、じゃあいいんじゃないですか。
[32:56] speaker_0: すごいなAIコーディングってすごいんですね。
[33:16] speaker_0: じゃあもう石井さんとやりますか。なんか先輩たちは流れたって言っといて。
[33:24] speaker_0: もう一回出直しますって言って。
[33:36] speaker_0: そしたら石井さん大丈夫だと思いますよ。あと、その設計図みたいなのをきちんと僕は分からなくても共有してもらっておけば、あの会社的に万が一のことがあっても、その設計図を基にAIと一緒にやるとか、それを使える人をまた探すっていうのは昔に比べ。
[33:56] speaker_0: たら超コスト下がってますよね。
[34:39] speaker_0: テスト要因というと
[34:42] speaker_0: どういう
[34:55] speaker_0: アルバイトさんってこと。
[35:05] speaker_0: デバッグみたいなレベルのことならバイトの人とかはいくらでも拾えるから友達に頼むとかもできますし、それはできる。ただプロの人がいいというので、あれば先輩とだけそこちょろと契約して、本当に一緒に月何万かで一応いつでもバックアップ
[35:25] speaker_0: 入れたりする体制でいてもらうみたいな。本当に月数万円ですけどっていうのは維持費としてはありかなみたいな
[35:40] speaker_1: な感じですか
[35:41] speaker_0: ね、でもそのぐらいだったら全然どちらにしてもその設計の方がちゃんとしっかりしてれば
[35:50] speaker_0: すごい、もう何でしょう。昔みたいな僕も石井さんも抜けたから全てが分かりませんみたいな前の会社みたいな状態には逆にならなくて
[36:08] speaker_0: まあでも確かにそうですよね
[36:12] speaker_0: それは全然ありじゃないですか
[36:19] speaker_0: じゃあちょっと
[36:22] speaker_0: 頑張ってそっちの方で二人で頑張りましょう。株式会社を建てます、私
[36:33] speaker_1: 僕もそれを、そうですね
[36:46] speaker_0: そんなにプラットフォームがバンバン変わるかって言ったらそんな変わんないそうな気もするんですけどね
[36:55] speaker_0: 結構しっかり作る。あと本格的にサービスにしていくんだったらいろんなところの連携ができるようにしたりとかはありますからね。決済はStripeだけじゃなくて、例えばDiscordとのロールで紐付くようにしたいとかYouTubeのそのAPIがあるか分かんないけど、YouTubeのメンバーシップと紐づいて
[37:16] speaker_0: 付与されるとかそういうのは拡充していきたいっていうのはどんどん全部あるので。そういうのはもうずっと先の話ですけど。
[37:32] speaker_0: それはそうなんですけど、そこさくっとそう言って思える方がやっぱりこれから買ってくと思うので、そんな営業するだけですよって僕は言ってるようなもんですから
[37:46] speaker_0: じゃあちょっと頑張ってやっていきましょう。でも本当に株分配してくとか全然ありだと思ってるんで、ちょっとうまいことお互い得できるように頑張りましょう
[38:02] speaker_0: やっぱいつかはバイアルとしてfireしよう
[38:13] speaker_0: 大手がね、やりたい
[38:16] speaker_1: って
[38:20] speaker_0: じゃあもう最高ですよ
[38:24] speaker_0: じゃあ概ね今
[38:28] speaker_0: 事務所の方向で、もうちょっと頑張って営業してきます。というか、もうちょっと周りを活かしてやります
[38:38] speaker_0: ちょっと全然あれなんですけど、和のあれ何なんですか
[38:42] speaker_0: やめた、やめないみたいな
[38:52] speaker_0: はい、はい
[39:19] speaker_0: サオリンが言ってる
[39:25] speaker_0: 頭が悪いんだから
[39:32] speaker_0: とつみさん
[40:21] speaker_0: サーフィンって何歳なんですか
[40:28] speaker_0: 僕と同世代ってことですかね
[40:41] speaker_0: じゃあ同い年だ
[40:44] speaker_0: 自分がじゃあ大人である近くがないんだ
[40:51] speaker_0: なんかあれですよね、婚活アドバイスだとか相談してる人ですよね。サオリって頭悪いんだから
[41:04] speaker_0: 辛辣に言っちゃうんですって。なんかまあでもわかる
[41:11] speaker_0: わかる。行きたい年頃ですから30年押さえて
[41:27] speaker_0: ブリッジメンバーがおじさんおばさんばっかりだな。僕もそう思いますよ
[41:35] speaker_0: 元からもうあってそういう場所だから、なってしか思わないんで諦めてんですけど僕は
[41:46] speaker_0: 自分たちが選ばれなかったのは
[41:50] speaker_0: なんか若い若いな十代の話を聞いてるみたいだ
[42:14] speaker_0: 湊も湊んも一週目みたいな用意ずっとしてますから変わんない人は永遠に変わらないですよ
[42:31] speaker_0: 続きますよ、そりゃね
[42:35] speaker_0: なんでこんなコミュニティの一つのイベントと一生懸命慣れるのか。僕はそっちの方が不思議でしょうがないです。
[42:54] speaker_0: 中山さんそういう意味じゃ収めてたっちゃ収めてたんだろうな
[43:01] speaker_0: 収まってなかったけどな。頑張って収めてたけどな
[43:06] speaker_0: いっぱい辞めてたし、いっぱいやってたよ私たち
[43:13] speaker_0: 結局でもどこも変わん
[43:14] speaker_1: ねえ、なんだな人がここ
[43:19] speaker_0: 入れ替わりがないですからね。入れ替えて、そもそも辰巳さんとかも含めてですけど、田口さんとかも履きましたけど、なんかやめちゃおうみたいな発想って良くないですよね。あれ、なんか
[43:35] speaker_0: 若いとかじゃろ、なんか転校してしまおうみたいな世界じゃないですか
[43:41] speaker_0: なんかどうなんだろう。僕からすると、そういう人たちって二度と戻ってこなくていいと思ってるんで、辞めた人は全員ブロックでいいんじゃないかと思う。本当に思うんですけどね
[43:52] speaker_0: まあ僕も尖ってるからあれですけど
[44:11] speaker_0: それは分かります
[44:16] speaker_1: よ
[44:20] speaker_0: それは分
[44:20] speaker_1: かる
[44:25] speaker_0: まあそうね
[44:27] speaker_0: なんかどこまで面の皮暑い人が残るのは、でインコさんとかずっとプロレス残ってるんだから伝統とかなんかそれはSotaroって感じでしかないん
[44:43] speaker_1: ですよね
[44:46] speaker_0: まあでもこっちにやっぱホットラインを作ってないって作ってないので
[44:53] speaker_0: やめちゃうの前に告発ぐらいはしてほしいですよね、せめてサオリン最低ですって言ってほしい。まあ
[45:03] speaker_0: のしのぶさんがその役をしたといえばしたわけでしょうけど
[45:09] speaker_0: 行動の前に言ってくれりゃ別にサオリに罰することだってできなくはないわけじゃないですか。僕らは
[45:16] speaker_0: 注意することだってできるけど、勝手に辞めたのに勝手に周りに文句を垂れて、それを聞いた田村さんが何か組織に問題があるんじゃないかとかって言ってるのが、どういうことなのこの人たちって僕は思うんですよう
[45:34] speaker_0: っていう
[45:40] speaker_0: ね。だから僕は全くトラブルの内容は知らないですけど、本当にどっちが悪いとこも一切興味なく、なんかどうなってんだろうって感じも、それを田村さんがモヤモヤして言ってくれるのかいみたいな
[45:57] speaker_0: 仲良いからだろう、そうねって思ってますわけですよ
[46:05] speaker_0: 何だったらしかも二人で組んでたんですよね、沙保凛と辰巳さん
[46:12] speaker_1: は
[46:15] speaker_0: なんでそんなお前の人と組むんだろう、その辺からも僕分からないです
[46:25] speaker_0: けどPGみたいに強制的に組ませられたわけでもないじゃないですか。なんか中田が指名してチームにするなら揉めるの分かるけど
[46:45] speaker_0: なんかいろんなわかんないながあるので、やっぱ人間って面倒くさいなぁって思います
[46:52] speaker_0: っていう
[46:55] speaker_0: 面倒くさい生き物だな
[47:02] speaker_0: まあそんなことを思いつつどうやって、でもなんか話を聞いてあげる方がいいかな。こっちは解決策はね
[47:23] speaker_0: こういうときはもう辞めることは田口さんともどっかで話しますけど、辞める人たちに対しては辞めるなって言うしかないですよね。辞めたら戻ってこれないってことはちゃんと無理した方がいい気がする。そもそも辞めなくてもいい仕組みを作ってあげて
[47:43] speaker_0: 辞めるっていうのはもう戻ってこないっていうことだからって僕は思ってるんですけど、音掘り冷めたら戻ってきますみたいなのってなんかこっちの管理ホストが増えるだけじゃ
[48:04] speaker_0: ないですか。辞めたいなと思ったらゼロにしてみてください、っていうことしかないような気がするんですけど
[48:13] speaker_0: ね、それすら嫌なら辞めてもいいけど、それはもう人の縁を切るって事だ、その時のAさんが嫌いだからその他の人たち全員との縁を切りますって選択あなたしてるんですよっていうことをもっと自覚知らないといけない気がしますけどね
[48:41] speaker_0: 戻れるんのがなんかバカバカしい気がするから僕はルール上その門も戻れないことにしてPCのこともあったし一回辞めたい人はもう入れない入れないっていうことにしてで誰かと喧嘩したいこともあると思うからその時はブリッジメンバーとか運営が相談に乗りますと
[49:03] speaker_0: 一時的に離れるとかアプリ消すとか実行動サーバ見えないようにしてミュートするか、そういうのは全く自由にして構わないから頭冷えるまでフリープランでいればいいじゃんって10年後にずっと仲良くしようって言ってるコミュニティなんだから、っていうことをもっと
[49:21] speaker_0: 伝えていかないと
[49:29] speaker_1: な
[49:32] speaker_0: なんだよって思いますけど、LINEとかだったらうざいんで抜けちゃいますけど、今もミュートにしてもLINEは絶対上に上がってくるじゃないですか。非表示にブロックしない限りはだからもうラインとかならわかるけどそうでもないんだよね
[49:52] speaker_0: なんてね
[50:00] speaker_0: 確かに
[50:05] speaker_1: みんなデジタルリテラシーって低いんだな
[50:08] speaker_0: そんなことを思いましたというただの愚痴ですけど、そろそろそういう成熟してきたっちゃ成熟してきたんだなというところですかね
[50:16] speaker_0: まあもう実験台になってもらう以外は僕の所であまりまだそれ伸びる未来はないと思ってるので、なんとかプラットフォームの実験台としてみんなに頑張ってもらいましょう
[50:30] speaker_0: おまじですか、それフロントから登録できるってことでもなく
[50:59] speaker_0: Stripeで最低限作ってくれれば
[51:05] speaker_0: それめっちゃすごくないですか
[51:10] speaker_0: それって個人情報の部分さえしっかり保護できちゃえば、普通に声優サイトの方でも使えるんじゃないですか。限定グッズ販売とかいちいちEC建てなくても
[51:19] speaker_0: い
[51:32] speaker_1: でStripeの時ってどうしてましたっけ。別サーバーにして管理してたんでしたっけ。個人情報だけ
[51:35] speaker_0: あの時甘いのはしょうがないとして
[51:56] speaker_0: のことどうやったらそれ辺の管理って正解なのか僕ちょっとわかんないけど
[52:01] speaker_0: いわゆる暗号化とかですかね。漏れたとして暗号化されてるから復元されませんっていうやつ
[52:08] speaker_0: ですよね。よくあの、すごい、でもそうですね、あの、今でもこんな面倒くさいなと思うことも事業の糧になると思う
[52:24] speaker_0: て、確かに
[52:39] speaker_0: て、確かに
[53:06] speaker_0: 戻るタイプとはお金を
[53:11] speaker_0: 預かるポイント的なところがなければ特に大丈夫です。ただ特定商取引法はコミュニティ内でもちゃんと記載しておくのかな。コミュニティ外でもいいから和のところに物を売りますよって書いとかないと
[53:27] speaker_0: 引っかかりそうぐらいか
[53:33] speaker_0: なにでもあとはあれですね、デジタル販売対応できると最高ですね
[53:41] speaker_0: めっちゃいい
[53:48] speaker_1: じゃないですか
[53:52] speaker_0: 今、PayPayともつながりましたからね。最高ですよね。
[53:58] speaker_0: PayPay決済できるんです。
[54:08] speaker_0: やっぱり、そしたら独自プラットフォームだったら、これはもう完全に。
[54:30] speaker_0: なんとか動かしたい。専用サイト用に作ってもらってると思うんで、それを背面に受注をした上で専用サイト用に作って。
