タイトル: rec_20260422030739
[14:40] 僕は大事にしてほしいし大事にしたいんですけど、ただ執着はしてほしくないですよね、わんに対してはね。執着しなくてもいいようにゼロ円プランを作って距離を取れるようにしている、というところはあるので、ゼロのゼロ円の人が距離取っているとかってわけじゃないですよ、ただ、
[14:56] 別に自由な距離でいられるように設計をしているからこそそう思うという感じです。じゃ
[15:09] 次の相談に移ります。私はだいたいコメントを拾って次の相談に移ります。執着ではなく、ありがとうございます。執着だとは思ってないですよ
[15:22] 執着してんなって思ってる人はいない。
[15:31] いや、でもいろいろあるよな。
[15:39] はい、ということで次のあれですが、これはコミュニティの話ではない、話の相談ですが、あるあるだなと思ったのでちょっと取り上げます。
[15:51] はい。ちなみにこれ、文章に関しては、もらった相談分がわかりづらいんで、基本AIを通して整形してます。個人情報が入っているのとか、そういうのは切ってね、やるようにしてます。じゃないとちょっと、あまりにも誰だかバレちゃうとかってね、あるあるなので、ここではないですけどね。PCでこれじゃ、証拠にもなっ-
[16:16] 証拠にはならないな。
[16:20] ピーチってでもないでしょ。レディオフィッシュクラブみたいな名前の何かでしたよね。ちょっとごめんなさい。本当にね、執着がなくなった結果、情報が漏れなくなっちゃったんですけど、僕もコメントしてみようかな。
[16:38] それぐらいしてもいいよね。こんにちは、よこさん、まちこさんも。へー、いいですね。いいですね。
[16:48] 証拠にもなく、向こうも証拠にもなく、他グループを弾こうとするのは変わらないですから、同じですよ。人間ね。
[16:59] はい、ということで、じゃあ行きます。私がある推し活界隈で二年ほどSNSを中心に交流しています。派閥が目立つようになって気まずい気持ちになっています。きっかけは推しの新作グッズを巡る意見の食い違いでした。
[17:17] とあるグループは限定品は絶対手に入れるべきと熱く語っている。もう一つは推しへの愛はグッズじゃ測れない。
[17:27] 気になってしまったので、どっちの意見もわかる私としては楽しく推し活をしたい。ご支援を応援したいだけなのに、どっちかの味方をしないと浮いてしまうという空気が辛いです。SNSを開くたびにまた揉めていると疲れてしまうし、せっかくの推し活は楽しくなくなってきました。どうすればこの派閥の空気に流されず楽しく交流できるんでしょうか。というお悩みです。
[17:50] わかる。
[17:52] このAIが好きだから思うんですけど、AIももうXをやれば常に言い争いしてるんですよね。AIがどっちがこうだって。
[18:01] なぜかというと、エックスでのAIの発言をやめたんですよ。AIはもう話さないようにしようって、当然、AIの発言をやめたってことじゃないけど、いわゆるAI賛成派とか、これからAIが世間を変えるとかそういう誰かに傷つきそうな発言は、する意味がないなって、AIがすごいっていうのは全然言いますけど、そういうふうに派閥を煽るような発言とはしない。
[18:31] この界隈に属していたいけど、言い争い・立場の違いに巻き込みたくないというこの気持ちは、僕はすごくわかる。
[18:43] でもどう解決していいかというのは悩ましいものですが、一つはどっちでもないよというスタンスをきちんと発信するとか、またはその界隈の広さによると僕は正直思うんです。派閥ですら、全体から見たらちっちゃいことだったりすることっていうのは多いですよ。
[19:08] 絶対にこっちじゃなきゃいけない、絶対にこっちじゃなきゃいけないって話している人たちの人数は実はぜんぜん少なくて、同じ趣味でも全然違うグループがある、という感じですかね。例えば文房具が好きな人たちが集まっているとしても、その文房具の会話が一つの場所になってるわけではなく、この人を中心とした文房具の集まりや、このインフルエンサーさんを中心とした集まり、イベントのように、細分化されているんですよ。
[19:37] みたいな風に意外と細分化されているんですよ。なのでSNSにおいてはアルゴリズムのエコーチェンバーとかフィルターバブルというものがよく言われます。限られた情報しか手に届かないようになっているんですよね。はじめさん、久しぶりです。こんにちは、ミナドンさんもありがとうございます。なので皆、エコチェンバーにとらわれてると思います。
[20:01] こういう情報しか来なくて開くたびに疲れてしまうということは、その会話の限られた情報だけを繰り返しおすすめされてる状態だろうと私は思うので、一度思い切って、その嫌な人たちをミュートにしてみるのはやってみてください。ミュートにしてみると、タイムラインが一回落ち着くんですよ。落ち着いた状態で全然別の書き込みをたくさんチェックする時間を作る。
[20:31] とにかくいろんな会話のいろんなものをチェックすると、推活だったら推活の出演情報でポジティブな発言をしている人のSNSをちゃんと眺めてみる、そういうものでアルゴリズムを一回ハックすることが大事です。タイムライン自体もあなたにファーストネイズされすぎて、おそらくあなたはこのトイアロソエが好きな人だと認識されてます。教えのグッズを、
[20:56] 言い争いを見ることが好きな人だとアルゴリズム上認識されていて、そればかりがおすすめに上がってきている。今どきYouTubeもXもTikTokも全部そうです。自分の立ち止まった時間やクリックした回数などで、この人を長く滞在させる話題を考えるように、世の中のSNSはできているんですよ。
[21:19] 本当は別に見たいわけじゃなくて、嫌だなと思いながら腹立てながら見てる場合でも、アルゴリズム的にはこの人に興味深々だな、嫌だ嫌だと言いながら気味に立てている人みたいな、そんな状態になってる。そういうのを一回リセットしましょう。たぶん一気に気持ちが変わると思います。気持ちやタイムラインが変わると思います。もう一つのおすすめの方法としては、これは
[21:49] SNSはとにかくマウンティングと自慢、反発みたいな、そういったものがメインで作られているので、目立つために過激な発言をする、権威を保持するためにお金を払っていることを示す、そういうふうな、形になるんですよね。なので、お仕事のグッズは愛じゃ測れませんよ、という人も
[22:19] 示すのはお金でしょう。私がこんだけ金をかけていると言うと、お金をかけている人からはお金じゃないと言われて自分が否定された気持ちになるからこそ、そういう論調に持っていくのだというのはあるんですよ。So, I think you should join a community where you can just play and have fun without being judged. And there, if you
[22:38] you can, you can find a group that doesn't judge you and you can try to get closer to that community. Open on social media means that you can see everything, so it's important to have close friends. You'll find them if you look for them. Even on
[22:58] LINEやOpenChat。世の中にはファンクラブやファンが作った交流の場が結構あるので、押しがね、あの
[23:10] 安心して押してあげたいのであれば、そういう友達を見つけるのがいいんじゃないかなと思います。はい、ということで、
[23:23] 界隈にはそれがありますよね。本当にフィルターバブルで、フォロワーが少なくてもとても影響力があると見なされている人は、やはりコミュニティにはいます。
[23:41] エックスを見ていると、その人の書き込みがいつも自分におすすめされたものと違うな、と思う特定の人がいる場合、あなたはその人を好きだと認識されていると思ってください。そして、その人の情報が嫌だなと思い、一定期間別のものを見たらその人は表示されなくなることもあります。興味を失ったと思って、でも自分から調べに行ってしまったり、嫌だなと思いながらも、
[24:10] それとかそんな感じの悪い情報を見てしまう。私の意見では、Xを切るのが一番です。Xは何が勧められるかを教えてくれるもので、勧告をくれるものです。つまり、すべてのネガティブ情報のおすすめを、私は基本的に切っています。
[24:30] 情報や警告のようなものDon't do this、Don't do that。YouTubeも同じです。YouTubeチャンネルを持っていれば、おすすめを出します。
[24:39] 思想が偏ったチャンネルをおすすめしてきた瞬間には、このチャンネルをおすすめ表示しないようにして処理していますね。自衛しなきゃいけないのは大変ですが、SNSを使えないように頑張ってみてください。今日は二つお答えさせていただきました。
[24:56] アルコールの誘惑に打ち勝つ強い心を手に入れたいです。これはダイエットと同じだと思っていて、ケーキの誘惑に打ち勝つ強い心を手に入れるより、ケーキを見ない方がいいんですよ。
[25:09] そうなのでネガティブは見落とすのが一番ということですね。最近、夜ポテトチップスが食べたいなと思ったんですが、家にポテトチップスがなかったので、おせんべいしかありませんでした。その時、せんべいを食べるぐらいなら寝ようと思って寝ました。もしポテトチップスがあっても食べていたでしょう。誘惑に火をつけない状態にするのがいいんじゃないかなと思います。ご質問ありがとうございます。
[25:38] 買わなくて帰れば買わずに帰ればまたないわけだから、食べなくて済むだろうと思って、その時は打ち勝ちました。欲望に負けそうなタイミングはなぜ負けちゃうのか。だからその時に手元にない状態にする、目に届かない状態にしておくことがいいんじゃないかなと思います。ご質問ありがとうございます。
[26:00] メンタルは強い方がいいですね。という意味で、僕も前の仕事を辞めたときにチャンネル登録をすぐ外しました。目に入ると多分見ちゃうだろうなと思って、根本的に自分のメンタルが強くないからこそ外していく、それが大事だと思っています。
[26:20] そうやって整理していかないと、いつまでも執着してしまう。なので、例えばさっきのお悩みにもちょっと通じるかもしれないけど、後半の差し引いてて気がする。
[26:34] お土産とか、貰うんですけど、お土産はほとんど小麦と砂糖で作られたものじゃないですか。あれはちょっとおかしいなと思ってて、ケーキ、そうね。
[26:54] 周りは、そういう意味で言うと、ゆっこさんのね、うちの親はそういうのをもういっぱいやめてて、和菓子しか食べないみたいなお菓子を食べるとしても、というのをさんざん言われている。だから僕はお土産を買わなくなりました。うちの親に何か言われそうだから、文句を言われそうだから、という。
[27:14] 親の宗教に引っかかりそうなので、宗教とかに怒られるかな。でも親の主義主張に引っかかりそうだから、もう何も買うのをやめました。それでお互いにハッピー。コーヒーぐらい買って帰るかな、現地のコーヒーとか。そうしないと、本当に怒られると思って相手は大量の焼き菓子を買ってくる。うちの親がそれを受け取るのをやめたがゆえにですよ。
[27:44] そうですよね。僕も別に食べるつもりはないんだから、流れてくるし、うちの親に言ったら全部“持って帰っていいよ”って言って、すごい大量のね。
[27:55] クッキーとかあります。今はそれが最終的にはうちの子供に流れ着くようになっていて、三歳くらいだとあまり良くないとは言われつつも甘い物は大好きです。そうやって日々一枚ずつクッキーをあげるような、そんな生活をしています。はい
[28:13] ねえ、ねえ物に感情を抱かないと捨てづらいっていうのはありますよね。あ、でもその意味では、あの人にあげちゃうっていうのはありですよね。あの捨てづらいものは人にあげちゃうと、あげたあとのことは二度と聞かないということ
[28:29] たまたまもらったもので、これもういらないからあげるって言われて、まあ全然いらないわけですよ、こっちも。植物、食べ物とかじゃなくて、もので、いらないなって思ってお前、一回貰っとくよって言って持って帰って、貰わないからずっとタンスに入れといたりとか、押し入れに入れたりするじゃないですか。ある時整理して、一回捨てちゃおうと思って捨てて、そうすると二週間後ぐらいに、そういえばあげたあれ持ってる
[28:54] 今まだ残ってたら使うと思ってて、みたいなことを言われることが多くて、こういうの捨てづらいな。こういうこと言われるとずっとうちで取っておかなきゃいけないのかな、みたいな。うちは実家じゃないんだなと思ったりね
[29:11] 友達に財布をあげたら、売り飛ばしたことを報告せずに成り立ったというのは成り立つでしょう。売り飛ばしたことを報告しないでしょう。売り飛ばしたとしても
[29:22] 面白いなあ、森先生こんにちは。売り飛ばしたことを報告してくる友達、めちゃいいですね。売り飛ばしたことを報告してみようか。他人が売り飛ばしたものは報告はしないかな。うん、さすがにね。販売もしない。あの人からもらったものは自分で買ったものは売り飛ばしますけど
[29:44] 忘れちゃうかなということですね。話そうと思ったのに忘れちゃいました。物に感情が乗っているとあれ
[29:55] 財布とか、いろんな物そうですけど、渡すときに相手の物をはじき出す物ってちょっとあげづらいですよね。これは贈り物問題の話ですけど
[30:05] 相手が普段使っているものを弾き出して、使わせるものって、ちょっとあげづらいなと思って。そういう意味で言うと、マウスとかね、僕それ好きなんで。マウスを贈り物するやつなんかいないと思うんですけど、僕はマウスが好きなんで、このマウスいいよって思うわけですよ。これすごい使いやすいよって思っても、使いやすさは人それぞれだから、自分はこのマウスが好きなんだよね。ごめんなさい、
[30:35] もともと使ってるものは弾き飛ばされるプレゼントってあげづらいよなって思うわけですよ。複数持っててもいいものっていうのを、僕はあげるようにしていて。その結論は、マウス欲しいですか。ちょうど今新しいの買ったんですよ。ハイパフォーマンスワイヤレスマウスっていう、ロジクールが出ているから出ているね、エムエックスマスターフォーっていうマウスです。なんとこれ、トラックボールじゃなくて、タッチパッドがトラックボールの位置についています。どういう操作をするんだろう
[31:06] タッチパッドで指で操作して、普通のマウスが使えるって、何言ってるか分かんないと思うんですけど、トラックボールって親指で操作する玉がついてるマウスあるじゃないですか。それじゃなくて、そのトラックボールのところにタッチパッドがついてるっていう、そういうマウスなんですよ。買ってもう一週間ぐらい経ってまだ開けてないんですけど
[31:26] すごい気になってるんですよね。結局僕は今のトラックボールが気に入ってて、これは興味だけで買ったので、これなんかめちゃ新しいじゃんと思って興味だけで買ったので、トラックボールを弾き出すっていう選択まで自分の中でさえ至ってなかったりして。これを他人に共有するとよりしんどいだろうなと思ったりして、贈り物としては
[31:47] とりあえず無難だなと思ってるのは、僕は最近は充電器を上げるようにしてます。薄型の充電器、どこでも持って行けるので、充電器なんかいくらあっても困りませんからね。うちも充電器 fifteen個ぐらいありますよ。いくらあっても困らなくはない。たくさんあると困りますね。充電器っていうのはね、非常に
[32:08] あってもあっても、全部の充電が切れているものですよ。不思議なもんですよね。どの充電器も切れているんですよ。で、充電器を充電している間に充電したいわけですから、もう携帯をさして充電したいわけで、いつまでも充電器は充電されないんですよ
[32:23] で、充電器を捨てるにしても、リチウムイオンバッテリーですから、市役所に持って行って回収ボックスに入れなきゃいけない、その時点で面倒くさいっていうよね。コストに燃えないゴミにしていいんじゃないかなってやっぱ思っちゃいますもんね。まあ、そういうので家に溜まっていくんですよ
[32:38] 最近それで使おうと思ったら、なんとUSBマイクロBっていうの、昔のUSB、マイクロUSBの薄いやつね、マイクロUSB-Cじゃなくて、Bの方の、懐かしいね。そのケーブルを探すのにまた時間がかかりましたよ
[32:56] ないでしょ、そんなもの。そんなツールを使ってる人って。はい。そうね、膨らんでしまった充電器、回収してくれない。最近は市役所に行くと回収ボックスがあるんですよ。なんかできたらしいです。持ってって箱にボンと入れるだけでいいっていうふうにね、結構多くの市役所が対応してるっぽいので、ぜひもう少し家で膨らんだ充電器がある方は試してみてください。はい、ということで
[33:21] でも、もう終わりです。取りたいもの取れたんで、文字起こしできてるかな。じゃあ最後ちょっと文字起こしを。
